player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_36,team
Marquis Teague,24,3,0,74,1.9,7.8,.250,0.5,1.9,.250,1.5,5.8,.250,1.0,2.4,.400,0.5,2.4,2.9,6.3,1.9,0.0,1.5,2.4,5.4,MEM
Brice Johnson,23,9,0,60,7.8,18.6,.419,0.0,0.0,,7.8,18.6,.419,0.6,1.8,.333,4.2,6.6,10.8,0.6,1.8,2.4,0.6,3.6,16.2,MEM
Vince Hunter,23,4,0,7,15.4,25.7,.600,0.0,0.0,,15.4,25.7,.600,0.0,0.0,,10.3,5.1,15.4,0.0,0.0,5.1,5.1,0.0,30.9,MEM
CJ McCollum,26,81,81,2923,8.2,18.5,.443,2.3,5.9,.397,5.9,12.7,.465,2.6,3.1,.836,0.7,3.3,4.0,3.3,0.9,0.4,1.9,2.1,21.3,POR
Damian Lillard,27,73,73,2670,8.4,19.1,.439,3.1,8.5,.361,5.3,10.6,.501,6.6,7.3,.916,0.8,3.5,4.4,6.5,1.0,0.4,2.8,1.6,26.5,POR
Jusuf Nurkic,23,79,79,2088,8.3,16.4,.505,0.0,0.1,.000,8.3,16.3,.508,3.0,4.7,.630,3.3,8.9,12.2,2.5,1.1,1.9,3.2,4.3,19.5,POR
Al-Farouq Aminu,27,69,67,2072,4.0,10.1,.395,2.2,5.9,.369,1.8,4.2,.432,1.0,1.4,.738,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2,POR
Evan Turner,29,79,40,2034,4.6,10.2,.447,0.7,2.3,.318,3.8,7.9,.485,1.6,1.9,.850,0.5,3.8,4.3,3.1,0.8,0.5,1.8,2.9,11.5,POR
Shabazz Napier,26,74,10,1535,5.2,12.5,.420,1.9,5.1,.376,3.3,7.3,.450,2.7,3.2,.841,0.6,3.4,4.0,3.5,1.9,0.3,2.1,2.0,15.1,POR
Pat Connaughton,25,82,5,1488,4.0,9.4,.423,1.8,5.1,.352,2.2,4.4,.506,0.9,1.1,.841,0.9,3.0,3.9,2.2,0.6,0.5,1.0,2.9,10.7,POR
Ed Davis,28,78,0,1471,4.2,7.1,.582,0.0,0.0,.000,4.2,7.1,.584,1.8,2.7,.667,4.5,9.6,14.1,1.0,0.8,1.3,1.6,4.6,10.1,POR
Maurice Harkless,24,59,36,1264,4.2,8.5,.495,1.4,3.4,.415,2.8,5.1,.547,1.2,1.7,.712,1.3,3.3,4.6,1.5,1.4,1.2,1.1,2.9,11.0,POR
Zach Collins,20,66,1,1045,4.0,10.0,.398,1.2,3.9,.310,2.8,6.1,.455,0.9,1.4,.643,1.6,6.1,7.6,1.8,0.6,1.1,2.0,4.6,10.1,POR
Noah Vonleh,22,33,12,476,3.6,7.3,.490,0.2,0.5,.333,3.4,6.8,.500,1.7,2.3,.742,2.6,10.0,12.6,1.0,0.5,0.8,1.1,3.2,9.0,POR
Meyers Leonard,25,33,2,254,6.5,11.1,.590,1.6,3.7,.423,5.0,7.4,.673,1.3,1.6,.818,1.7,8.2,9.9,2.4,1.0,0.0,1.4,5.1,15.9,POR
Caleb Swanigan,20,27,3,189,4.6,11.4,.400,0.2,1.5,.125,4.4,9.9,.442,2.3,3.4,.667,2.9,7.4,10.3,2.7,1.0,0.6,3.4,7.0,11.6,POR
Jake Layman,23,35,1,160,3.2,10.6,.298,0.9,4.5,.200,2.3,6.1,.370,0.5,0.7,.667,0.9,2.7,3.6,2.5,1.4,0.9,1.1,2.9,7.7,POR
Wade Baldwin,21,7,0,80,6.3,9.5,.667,1.8,2.3,.800,4.5,7.2,.625,2.7,4.5,.600,0.5,3.2,3.6,2.3,0.9,0.5,1.8,5.4,17.1,POR
Georgios Papagiannis,20,1,0,4,9.0,9.0,1.000,0.0,0.0,,9.0,9.0,1.000,0.0,0.0,,9.0,0.0,9.0,0.0,18.0,0.0,0.0,0.0,18.0,POR
Kentavious Caldwell-Pope,24,74,74,2458,5.0,11.7,.426,2.3,6.1,.383,2.7,5.6,.473,2.2,2.8,.789,0.9,4.8,5.7,2.4,1.6,0.2,1.4,2.1,14.5,LAL
Kyle Kuzma,22,77,37,2401,7.0,15.6,.450,2.4,6.5,.366,4.6,9.1,.511,2.2,3.1,.707,1.3,5.9,7.2,2.1,0.7,0.5,2.1,2.4,18.6,LAL
Julius Randle,23,82,49,2190,8.3,14.9,.558,0.2,0.7,.222,8.1,14.1,.575,5.0,7.0,.718,3.0,7.8,10.8,3.5,0.7,0.7,3.5,4.5,21.7,LAL
Brandon Ingram,20,59,59,1975,6.5,13.9,.470,0.7,1.9,.390,5.8,12.0,.483,3.5,5.1,.681,1.0,4.7,5.7,4.2,0.8,0.8,2.7,3.0,17.3,LAL
Lonzo Ball,20,52,50,1780,4.1,11.4,.360,1.8,6.0,.305,2.3,5.4,.420,0.6,1.4,.451,1.4,5.9,7.3,7.6,1.8,0.9,2.8,2.4,10.7,LAL
Brook Lopez,29,74,72,1735,7.7,16.5,.465,2.3,6.7,.345,5.3,9.7,.549,2.3,3.3,.703,1.5,4.6,6.1,2.6,0.6,2.0,2.0,4.0,19.9,LAL
Josh Hart,22,63,23,1461,4.3,9.2,.469,1.9,4.9,.396,2.4,4.4,.551,1.6,2.3,.702,1.0,5.4,6.5,2.0,1.2,0.4,1.2,2.6,12.2,LAL
Jordan Clarkson,25,53,2,1256,8.6,19.1,.448,1.9,6.0,.324,6.6,13.1,.505,3.0,3.8,.795,1.3,3.3,4.6,5.0,1.1,0.1,2.7,1.8,22.1,LAL
Larry Nance,25,42,17,922,5.9,9.9,.601,0.0,0.2,.250,5.9,9.7,.606,2.1,3.4,.632,4.2,6.9,11.1,2.2,2.3,0.8,1.6,4.4,14.1,LAL
Corey Brewer,31,54,2,694,4.0,8.9,.453,0.4,2.2,.186,3.6,6.7,.543,1.8,2.6,.667,1.2,3.6,4.8,2.1,2.1,0.4,2.0,4.3,10.3,LAL
