year,lg,team,G,Ghome,W,L,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF
2005,AL,BAL,162,81,74,88,729,5551,1492,980,296,27,189,447,902,83,37,54,42
2005,AL,TBA,162,81,67,95,750,5552,1519,1033,289,40,157,412,990,151,49,69,51
2005,AL,LAA,162,81,95,67,761,5624,1520,1065,278,30,147,447,848,161,57,29,39
2005,AL,OAK,162,81,88,74,772,5627,1476,991,310,20,155,537,819,31,22,52,40
2005,AL,TEX,162,81,79,83,865,5716,1528,928,311,29,260,495,1112,67,15,48,32
2005,AL,SEA,162,81,69,93,699,5507,1408,955,289,34,130,466,986,102,47,48,37
2005,NL,SLN,162,81,100,62,805,5538,1494,1011,287,26,170,534,947,83,36,62,35
2005,NL,HOU,163,81,89,73,693,5462,1400,926,281,32,161,481,1037,115,44,72,42
2005,NL,MIL,162,81,81,81,726,5448,1413,892,327,19,175,531,1162,79,34,73,38
2005,NL,CHN,162,81,79,83,703,5584,1506,966,323,23,194,419,920,65,39,50,37
2005,NL,CIN,163,82,73,89,820,5565,1453,881,335,15,222,611,1303,72,23,62,39
2005,NL,PIT,162,81,67,95,680,5573,1445,976,292,38,139,471,1092,73,30,72,49
2005,NL,ATL,162,81,90,72,769,5486,1453,924,308,37,184,534,1084,92,32,45,46
2005,NL,PHI,162,81,88,74,807,5542,1494,1010,282,35,167,639,1083,116,27,56,46
2005,NL,FLO,162,81,83,79,717,5502,1499,1033,306,32,128,512,918,96,38,67,50
2005,NL,NYN,162,81,83,79,722,5505,1421,935,279,32,175,486,1075,153,40,48,38
2005,NL,WAS,162,81,81,81,639,5426,1367,907,311,32,117,491,1090,45,45,89,45
2005,NL,SDN,162,81,82,80,684,5502,1416,978,269,39,130,600,977,99,44,49,48
2005,NL,ARI,162,81,77,85,696,5550,1419,910,291,27,191,606,1094,67,26,55,45
2005,NL,SFN,162,81,75,87,649,5462,1427,974,299,26,128,431,901,71,35,49,44
2005,NL,LAN,162,81,71,91,685,5433,1374,920,284,21,149,541,1094,58,35,67,33
2005,NL,COL,162,81,67,95,740,5542,1477,1013,280,34,150,509,1103,65,32,64,34
