"","Rk","G","Date","Age","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","Result","Dummy"
"315",69,69,"2016-03-18","26-205","HOU","","MIN","W (+5)","1","38:28","11","20",".550","3","8",".375","4","4","1.000","0","5","5","14","3","0","9","2","29","23.9","+10","W",1
"316",70,70,"2016-03-19","26-206","HOU","@","ATL","L (-12)","1","36:48","7","17",".412","3","5",".600","8","8","1.000","1","5","6","8","1","1","3","2","25","21.6","-4","L",0
"317",71,71,"2016-03-22","26-209","HOU","@","OKC","L (-4)","1","40:23","7","17",".412","2","8",".250","8","8","1.000","0","7","7","16","4","0","5","6","24","24.8","+1","L",0
"318",72,72,"2016-03-23","26-210","HOU","","UTA","L (-2)","1","41:51","8","19",".421","2","6",".333","8","9",".889","0","7","7","10","8","0","5","3","26","26.4","-8","L",0
"319",73,73,"2016-03-25","26-212","HOU","","TOR","W (+3)","1","41:56","11","22",".500","3","7",".429","7","10",".700","0","10","10","13","1","1","7","3","32","25.4","+2","W",1
"320",74,74,"2016-03-27","26-214","HOU","@","IND","L (-3)","1","43:32","11","22",".500","4","11",".364","8","11",".727","0","8","8","8","1","0","5","1","34","25.4","+2","L",0
"321",75,75,"2016-03-29","26-216","HOU","@","CLE","W (+6)","1","44:20","8","16",".500","3","8",".375","8","10",".800","2","4","6","8","1","0","4","2","27","22.6","+14","W",1
"322",76,76,"2016-03-31","26-218","HOU","","CHI","L (-3)","1","42:20","8","20",".400","2","7",".286","6","8",".750","0","4","4","8","0","2","4","1","24","16.2","-8","L",0
"323",77,77,"2016-04-03","26-221","HOU","","OKC","W (+8)","1","42:38","12","25",".480","5","11",".455","12","14",".857","1","3","4","9","3","1","5","2","41","33.3","+9","W",1
"324",78,78,"2016-04-06","26-224","HOU","@","DAL","L (-2)","1","43:57","8","22",".364","4","10",".400","6","7",".857","0","5","5","4","1","2","6","4","26","12.5","-1","L",0
